country_code,count,avg_detection,country
CA,65,0.33318411247491503,Canada
DE,48,0.3235598835892835,Germany
US,20,0.3635196827794492,United States
CZ,10,0.2975815374529577,Czechia
KR,4,0.33284417415829365,"Korea, Republic of"
IN,3,0.3356545485577744,India
IE,2,0.31420765027322406,Ireland
EC,1,0.3225806451612903,Ecuador
RU,1,0.2903225806451613,Russian Federation
AR,1,0.36507936507936506,Argentina
